Items,JSON,JSONB,JSONB No Structs,JSONB64,JSONB64 No Structs
69,7375,4274,4581,5701,6109
70,7486,4342,4653,5793,6205
71,7590,4403,4718,5873,6293
72,7704,4474,4793,5969,6393
73,7821,4545,4868,6061,6493
74,7925,4606,4933,6145,6581
75,8033,4671,5002,6229,6673
76,8145,4740,5075,6321,6769
77,8254,4806,5145,6409,6861
78,8374,4883,5226,6513,6969
79,8473,4939,5286,6589,7049
80,8581,5004,5355,6673,7141
81,8684,5064,5419,6753,7229
82,8788,5125,5484,6837,7313
83,8892,5186,5549,6917,7401
84,9001,5252,5619,7005,7493
85,9107,5315,5686,7089,7585
86,9215,5380,5755,7177,7677
87,9327,5449,5828,7269,7773
88,9445,5522,5905,7365,7877
89,9544,5578,5965,7441,7957
90,9650,5641,6032,7525,8045
91,9751,5699,6094,7601,8129
92,9857,5762,6161,7685,8217
93,9958,5817,6220,7757,8297
94,10060,5860,6267,7817,8357
95,10175,5932,6343,7913,8461
96,10282,5996,6411,7997,8549
97,10381,6052,6471,8073,8629
98,10491,6119,6542,8161,8725
99,10595,6180,6607,8241,8813
100,10701,6243,6674,8325,8901
101,10804,6303,6738,8405,8985
102,10911,6367,6806,8493,9077
103,11018,6431,6874,8577,9169
104,11116,6486,6933,8649,9245
105,11212,6539,6990,8721,9321
106,11312,6596,7051,8797,9405
107,11411,6652,7111,8873,9485
108,11516,6714,7177,8953,9573
109,11625,6780,7247,9041,9665
110,11727,6839,7310,9121,9749
111,11828,6897,7372,9197,9833
112,11931,6957,7436,9277,9917
113,12032,7015,7498,9357,10001
114,12131,7071,7558,9429,10081
115,12234,7131,7622,9509,10165
116,12345,7199,7694,9601,10261
117,12444,7255,7754,9677,10341
118,12555,7323,7826,9765,10437
119,12653,7378,7885,9841,10517
120,12767,7449,7960,9933,10617
121,12878,7517,8032,10025,10713
122,12980,7576,8095,10105,10797
123,13082,7635,8158,10181,10881
124,13177,7687,8214,10253,10953
125,13285,7752,8283,10337,11045
126,13384,7808,8343,10413,11125
127,13487,7868,8407,10493,11213
128,13594,7933,8476,10581,11305
129,13710,8006,8553,10677,11405
130,13824,8075,8626,10769,11505
131,13926,8134,8689,10849,11589
132,14024,8189,8748,10921,11665
133,14122,8244,8807,10993,11745
134,14231,8310,8877,11081,11837
135,14330,8366,8937,11157,11917
136,14432,8425,9000,11237,12001
137,14542,8492,9071,11325,12097
138,14655,8562,9145,11417,12197
139,14759,8623,9210,11501,12281
140,14858,8679,9270,11573,12361
141,14961,8739,9334,11653,12449
142,15057,8792,9391,11725,12525
143,15163,8855,9458,11809,12613
